OID_,FID_Garage_Points_buffered,OID1,CIT_CODE,FAC_CODE,LotName,AggieMap,Name,LotType,ORIG_FID,X,Y,BUFF_DIST,FID_Buildings,Number,Abbrev,Private,Type,Bldg,BldgAbbr,BldgName,YearBuilt,NumFloors,Address,City,Zip,MapDisplay,Shape_Length,Shape_Area
-1,1,,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.333619999999996,30.613730000000000,150.000000000000000,156, ,,No,UNIVERSITY,,,,,,,,, |  | ,26.326796029663306,36.038078966827584
-1,1,,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.333619999999996,30.613730000000000,150.000000000000000,157, ,,No,UNIVERSITY,,,,,,,,, |  | ,43.152372507712570,106.546471645377139
-1,1,,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.333619999999996,30.613730000000000,150.000000000000000,316,0378,SSPG,No,GARAGE,0378,SSPG,South Side Parking Garage,1990,04,750 Bizzell St,College Station,77843,South Side Parking Garage | SSPG | 0378,553.269233016415569,14543.691412792895790
-1,1,,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.333619999999996,30.613730000000000,150.000000000000000,323, ,,No,UNIVERSITY,,,,,,,,, |  | ,26.657592586517040,37.546402861319265
-1,1,,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.333619999999996,30.613730000000000,150.000000000000000,391,0448,ADAM,No,ACADEMIC,0448,ADAM,Adams Band Hall,1970,03,611 Lewis St,College Station,77843,Adams Band Hall | ADAM | 0448,103.170436599121331,546.480067763095803
-1,1,,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.333619999999996,30.613730000000000,150.000000000000000,803,0291,RUDD,No,HOUSING TAMU,0291,RUDD,Rudder Residence Hall,1989,04,770 Mosher Ln,College Station,77843,Rudder Residence Hall | RUDD | 0291,168.427365743412565,1055.853497948144877
-1,1,,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.333619999999996,30.613730000000000,150.000000000000000,809,0290,WELL,No,HOUSING TAMU,0290,WELL,Wells Residence Hall,1989,04,700 Mosher Ln,College Station,77843,Wells Residence Hall | WELL | 0290,213.061544332600704,1352.095326242851343
-1,1,,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.333619999999996,30.613730000000000,150.000000000000000,829,0292,EPPR,No,HOUSING TAMU,0292,EPPR,Eppright Residence Hall,1989,04,695 Spence St,College Station,77843,Eppright Residence Hall | EPPR | 0292,224.739731568358167,1519.106543999993846
-1,1,,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.333619999999996,30.613730000000000,150.000000000000000,832,0293,APPE,No,HOUSING TAMU,0293,APPE,Appelt Residence Hall,1989,04,660 Mosher Ln,College Station,77843,Appelt Residence Hall | APPE | 0293,67.718995889308786,194.780874903988092
-1,1,,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.333619999999996,30.613730000000000,150.000000000000000,841,0450,DCAN,No,DINING,0450,DCAN,Duncan Dining Hall,1940,03,777 Military Mall,College Station,77843,Duncan Dining Hall | DCAN | 0450,5.891723312008761,1.473338377122119
-1,1,,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.333619999999996,30.613730000000000,150.000000000000000,1313,0410,HARR,No,HOUSING TAMU,0410,HARR,Harrington Hall - Dorm 11,1938,05,767 Military Mall,College Station,77843,Harrington Hall - Dorm 11 | HARR | 0410,191.756817533671096,967.593227489491596
-1,2,,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.337770000000006,30.616499999999998,150.000000000000000,105,0468,LIBR,No,LIBRARY,0468,LIBR,Evans Library,1929,07,400 Spence St,College Station,77843,Evans Library | LIBR | 0468,635.250631605322724,7610.888610318858809
-1,2,,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.337770000000006,30.616499999999998,150.000000000000000,212,0357,,No,UNIVERSITY,0357,,Vending Machine Booth,1999,01,408 Spence St,College Station,77843,Vending Machine Booth |  | 0357,31.084954464558805,54.451907776893499
-1,2,,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.337770000000006,30.616499999999998,150.000000000000000,428,0469,CCPG,No,GARAGE,0469,CCPG,Central Campus Parking Garage,1999,08,450 Spence St,College Station,77843,Central Campus Parking Garage | CCPG | 0469,225.223941799298444,2792.717644242938604
-1,2,,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.337770000000006,30.616499999999998,150.000000000000000,673,0443,OMB,No,ACADEMIC,0443,OMB,Eller Oceanography & Meteorology Building,1973,16,797 Lamar St,College Station,77843,Eller Oceanography & Meteorology Building | OMB | 0443,146.177678198809815,1186.279948463499750
-1,2,,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.337770000000006,30.616499999999998,150.000000000000000,675,0477,ANTH,No,ACADEMIC,0477,ANTH,Anthropology Building,1952,03,340 Spence St,College Station,77843,Anthropology Building | ANTH | 0477,168.363969272262608,1066.645419401718073
-1,2,,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.337770000000006,30.616499999999998,150.000000000000000,679,0445,TEAG,No,ACADEMIC,0445,TEAG,Teague Research Center,1966,05,735 Lamar St,College Station,77843,Teague Research Center | TEAG | 0445,69.643172157067497,206.808597037507042
-1,2,,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.337770000000006,30.616499999999998,150.000000000000000,680,0517,CSA,No,ACADEMIC,0517,CSA,Computing Services Annex,1966,05,733 Lamar St,College Station,77843,Computing Services Annex | CSA | 0517,161.211462520300330,802.622702323786143
-1,2,,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.337770000000006,30.616499999999998,150.000000000000000,681,0470,GLAS,No,ACADEMIC,0470,GLAS,Melbern G. Glasscock Building,1921,04,398 Spence St,College Station,77843,Melbern G. Glasscock Building | GLAS | 0470,137.136724273129403,924.017867031880087
